instruction,output
What can I do if my landlord refuses the person I suggest for assignment?,"If you don't think your landlord was justified in refusing the person, you can ask the LTB to authorize the assignment, end the tenancy, or order the landlord to pay you a rent rebate."
What can a tenant do if the landlord is not maintaining the rental property?,The tenant can apply to the LTB to end their tenancy if the landlord is not maintaining the rental property. The LTB will schedule a hearing to make a decision about the application.
What happens after the LTB schedules a hearing for the tenant's application?,"The LTB will mail a Notice of Hearing to the tenant, which will have the time and location of the hearing. Both the tenant and the landlord can attend the hearing. At the hearing, the tenant can tell their side of the story and provide evidence to the LTB."
How can a tenant end their tenancy if the landlord is interfering with their reasonable enjoyment of the rental property?,The tenant can apply to the LTB to end their tenancy if the landlord is interfering with their reasonable enjoyment of the rental property. The LTB will schedule a hearing to make a decision about the application.
How can a tenant end their tenancy if they are a victim of sexual or domestic violence?,"If the tenant or a child living with them is a victim of sexual or domestic violence, they can end their tenancy with 28 days’ notice if they believe they or the child may be harmed if they don’t leave the unit. The tenant can give this notice any time during their tenancy."
What can a tenant do if the landlord did not use the standard lease form?,"The tenant can demand, in writing, that the landlord give them a signed copy of the standard lease form. If the landlord provides the standard lease, the tenant may choose not to enter into the tenancy agreement and instead give notice to the landlord to end the tenancy within 30 days."
How to end a tenancy early if the landlord did not use the standard lease form,You must provide the landlord with a written notice to terminate the tenancy at least 60 days before the last day of a rental period. The termination date does not have to be the last day of the fixed tenancy agreement.
How to legally evict a tenant?,"Follow the rules in the Residential Tenancies Act, 2006 (RTA) and obtain an eviction order from the Landlord and Tenant Board (LTB). Once you have the eviction order, you can proceed to the sheriff to have the tenant removed from the unit and get the locks changed if the tenant does not leave."
How to evict tenant,The landlord must follow the five steps below: 1. Serve the tenant with a notice of termination. 2. File an application to the Landlord and Tenant Board. 3. Attend a hearing at the Board. 4. Obtain an eviction order from the Board. 5. Have the Sheriff enforce the eviction order if the tenant does not move out.
How to dispute an eviction application with the LTB?,"If you want to dispute the application, you must come to the hearing and present your case to the Landlord Tenant Board."
What can I do if my tenant didn't meet the conditions of an LTB order or mediated agreement?,You can apply to the Landlord and Tenant Board to enforce the LTB order or mediated agreement. The Board may issue a warrant of possession to evict the tenant.
Can my landlord lock me out?,It is illegal for your landlord to lock you out of your unit. Only a sheriff from the Court Enforcement Office can force you to move out.
What can I do if my landlord locks me out illegally?,"If your landlord locks you out illegally, you can file an application with the Landlord and Tenant Board for an illegal lockout. The Board can order the landlord to allow you back into the rental unit and may also award you compensation for any losses you suffered as a result of the illegal lockout."
What can I do if my landlord locks me out illegally?,"If your landlord locks you out illegally, you can take the following steps: 1. Call the police and provide identification to prove your address. They may be able to assist in getting your landlord to let you back in. 2. Contact the Rental Housing Enforcement Unit of the Ministry of Municipal Affairs and Housing at 416-585-7214 or toll-free 1-888-772-9277, Monday to Friday from 8:30 a.m. to 4:30 p.m. They can start an investigation and take the landlord to court if necessary. 3. Apply to the Landlord Tenant Board (LTB) to get an order requiring your landlord to let you back into your unit and continue your tenancy. 4. Seek legal advice from a lawyer, legal clinic, or paralegal for guidance on your next steps."
How to ask for an earlier hearing date?,Fill out the Request to Extend or Shorten Time and file it with your application. Explain why your situation is urgent. An LTB member will decide whether or not to give you an earlier hearing date.
How to deliver the application and Notice of Hearing to your landlord,"You can deliver the application and Notice of Hearing to your landlord by mail, fax, or in person. Make sure to keep a copy of the documents and proof of delivery."
How to serve the application and Notice of Hearing on the landlord?,"You will need two copies of the Notice of Hearing and two copies of your application. Keep one copy of each document for yourself and give the second copy to your landlord. It is important that you give the landlord (or their representative) copies of both the Notice of Hearing and the application right away; the same day if possible. You can deliver them by hand or send them by courier or fax. You can email the documents if the landlord has agreed in writing to accept documents by email, e.g. in the standard lease or by signing the Consent to Service by Email."
How to prepare for a hearing at the Landlord Tenant Board?,"You can bring a lawyer or agent to represent you. It is advisable to contact the Tenant Duty Counsel program for free legal advice before the hearing. Ensure to provide all evidence and written submissions to the LTB and the landlord at least 7 days before the hearing, unless directed otherwise."
What compensation can I receive after the hearing?,"You may receive an abatement of rent, compensation for property damage or disposal, reimbursement for out-of-pocket expenses, and potentially an administrative fine of up to $35,000."
How can I enforce the LTB order if my landlord does not obey it?,You will need to ask the Court Enforcement Office for your area to come to your unit and make sure that the landlord lets you back in. You will have to pay a fee.
Can I represent myself at the Landlord and Tenant Board?,"Yes, you can represent yourself at the Landlord and Tenant Board. The LTB allows parties to participate effectively in the process, whether or not they are represented by a lawyer or paralegal."
How to contact Tribunals Ontario - Landlord Tenant Board?,"You can call toll free at 1-888-332-3234 or in the Toronto area at 416-645-8080. If you require TTY service, you can use the Bell Relay Service at 1-800-268-9242. Additionally, you can visit their website at tribunalsontario.ca/ltb for more information."
How to navigate Tribunals Ontario website to resolve a dispute related to mobile home parks and land lease communities?,"You can visit the Tribunals Ontario website at tribunalsontario.ca/ltb and navigate to the section specifically addressing mobile home parks and land lease communities. There, you can find information on dispute resolution processes and resources available to address your specific situation."
How to contact Tribunals Ontario - Landlord Tenant Board?,"You can call toll free at 1-888-332-3234, in the Toronto area at 416-645-8080, or use the Bell Relay Service at 1-800-268-9242 for TTY. You can also visit their website at tribunalsontario.ca/ltb for more information."
How to terminate a tenancy,You can terminate a tenancy by providing the tenant with the appropriate notice as outlined in the Residential Tenancies Act. You can also seek guidance from Tribunals Ontario by calling the toll-free number at 1-888-332-3234 or visiting their website at tribunalsontario.ca/ltb.
What types of accommodation are not covered by the Act?,"Long term care homes, nursing homes, municipal homes for the aged, and charitable homes for the aged are not covered by the Act as they are legislated and funded by the provincial government and governed under other legislation."
What is considered a care home under Tribunals Ontario - Landlord Tenant Board?,"A care home is a building where the main reason someone lives there is to receive rehabilitative or therapeutic services, and it is agreed between the parties that specific conditions apply to the living arrangement, including a specified period of time for living there, the end of the person's right to live there when the objectives of the services have been met, or it is determined that the objectives will not be met, and the accommodation is intended to be provided for no more than one year."
What are the minimum staffing levels in the care home and qualifications of staff?,"The minimum staffing levels in the care home are outlined in the information package, along with the qualifications of the staff."
What is the procedure for dealing with complaints?,"The information package includes a description of the procedure for dealing with complaints, including whether tenants have the right to appeal from a decision made by staff or the landlord."
Are there any alternative packages of care services and meals available?,The information package provides details about any alternative packages of care services and meals that are available as part of the total charge for accommodation.
Is there an emergency response system in the home?,"The information package includes details about the emergency response system in the home, or it may state that there is no emergency response system provided."
What additional services and meals are available from the landlord on a user pay basis?,The information package includes a list and fee schedule for any additional services and meals available from the landlord on a user pay basis.
What should be included in the written tenancy agreement for care services and meals?,"The written agreement must list the care services and meals the landlord has agreed to provide to the tenant. It must also set out the amounts the tenant must pay for these services and meals. The agreement may also include any other matters which the landlord and the tenant agree to, but may not include agreements that are contrary to the Act."
Is there a statement that must be included in the written agreement?,"The agreement must include a statement saying that the tenant has the right to consult someone else (for example, a friend or relative) about the agreement, and that the tenant can cancel the agreement within five days after it has been signed."
What can a tenant do if there is no written tenancy agreement?,The tenant can file an Application about Tenant Rights (T2) for an abatement of rent. This application can be filed online through the Tribunals Ontario Portal.
How to increase rent for a tenant?,"To increase rent for a tenant, you must give them at least 90 days notice in writing using the Notice to Increase Rent and/or Charges for Care Services and Meals (Form N3). The rent can only be increased once every 12 months."
How to increase charges for care services and meals in a care home?,"As a landlord, you must give the tenant at least 90 days' notice in writing of any increase in charges for care services or meals. Use the Notice to Increase Rent and/or Charges for Care Services and Meals (Form N3) to give this notice. The tenant does not have to pay the increase if proper notice is not given."
How to terminate a tenancy for a tenant receiving rehabilitative or therapeutic services in a care home unit?,"You can terminate the tenancy at the end of the period of tenancy agreed to by giving the tenant at least 28 days notice (for a daily or weekly tenant) or 60 days notice (for all other tenants). You should use the Notice to Terminate a Tenancy at the End of the Term, Form N8."
How can I end a tenancy for a tenant who has withdrawn from rehabilitative or therapeutic services?,You can end the tenancy by following the procedures outlined in the tenancy agreement and providing proper notice as per the regulations. It's important to ensure that the tenancy agreement specifically grants the right to end the tenancy in such circumstances.
What notice should be given if a rental unit is to be demolished?,The landlord must give the tenant at least 120 days notice in writing.
What should a landlord do if major repairs or renovations are planned for the rental unit?,The landlord must give the tenant at least 120 days notice in writing.
What are the landlord's obligations if the notice is given by a landlord of a care home?,"The landlord must make reasonable efforts to find alternate accommodation that is appropriate for the tenant. If the tenant accepts the accommodation, the landlord does not have to pay the tenant compensation."
How to transfer a tenant to a care home?,"If the tenant no longer requires the level of care the landlord provides or has repeatedly and substantially withdrawn from participating in the care services agreed to in the tenancy agreement, the landlord can start the process by providing appropriate notice and following the legal procedures for transferring a tenant to a care home."
What happens to the tenancy agreement after the death of a tenant?,"If there are no other tenants in the rental unit, then the tenancy agreement ends 30 days after the death of the tenant. However, the estate of the tenant only has to pay for care services and meals for 10 days after the tenant dies."
What costs can a landlord apply for in a rent increase above the guideline?,"A landlord can apply for costs for security services at the residential complex, provided that the service is not provided by an employee of the landlord and still exists at the time of the hearing. Start-up costs and increases in operating costs may also be allowed."
How to deal with a tenant who does not pay rent?,"You can give the tenant a notice asking them to pay the rent they owe or move out. If the tenant does not pay or move out, you can apply to the LTB for an order to evict the tenant and to collect the rent that the tenant owes."
How to evict tenant for non-payment of rent,"You can use the form Notice to End a Tenancy Early for Non-payment of Rent (N4) to inform the tenant that if they don’t either pay the rent or move out, you can apply to the LTB to evict them."
What happens if a tenant pays rent after receiving an eviction notice?,"If the tenant pays all the rent owed before the termination date on the notice, the notice is void and the eviction process is stopped."
How to apply for rent owed and to evict the tenant?,"You can submit the Application to Evict a Tenant for Non-payment of Rent and to Collect Rent the Tenant Owes (L1) by mail, courier, or online using the Tribunals Ontario Portal. Filing your application through the portal can save you time and money."
How to apply for an order to collect rent owed by a tenant?,You can apply to the LTB using the Application to Collect Rent the Tenant Owes (L9) form. You can file this application the day after the rent is due.
How can I collect unpaid rent or compensation from a former tenant who has moved out?,"You can ask the LTB to order your former tenant to pay you what they owe by using the Application to Collect Money the Former Tenant Owes (L10). You can only file this application if the tenant moved out of the rental unit on or after September 1, 2021. However, you cannot file this application more than one year after the date the tenant moved out."
What should I do if I receive a hearing date from the Landlord Tenant Board?,It is important to attend the hearing. You will have the opportunity to explain why the LTB should order your tenant to pay their rent and/or evict your tenant.
How to pay owed rent to the landlord or LTB in trust?,"You can pay the money you owe to the landlord directly or to the LTB in trust at the CIBC. To pay the money in trust, call or email the office handling your file for instructions. You will need a deposit slip or LTB trust account numbers."
What should I do if I disagree with the amount of rent the landlord claims I owe?,You can raise this issue at the hearing and provide evidence to support your disagreement. Make sure to inform the landlord and the LTB of this issue and your evidence at least 5 days before the hearing.
How can I raise issues about maintenance or harassment at the hearing?,You can raise these issues at the hearing by providing evidence and informing the landlord and the LTB of the issues you plan to raise at least 5 days before the hearing.
Where can I find more information about providing evidence for the hearing?,You can find more information in the Practice Direction on Evidence. It is important to provide evidence and a list of the issues you plan to raise at least 5 days before the hearing.
What can I do if a tenant does not pay rent?,"You can file an application with the Landlord Tenant Board and attend a hearing. If the member orders eviction, they may also allow the tenant to pay the amount owing through a payment plan or refuse the eviction."
What happens if a tenant does not provide the landlord and the LTB with a description of their issues and evidence before the hearing?,"The tenant will not be permitted to raise these issues during the hearing, unless they can convince the adjudicator that they were unable to provide the issues and evidence in advance."
What should I do if a tenant provides me with a description of the issues they want to raise during the hearing and supporting evidence?,You must provide the tenant and the LTB with any responding documents and evidence at least 5 days before the hearing.
When are rents automatically reduced?,"Rents are automatically reduced when certain conditions are met, such as in mobile home parks and land lease communities. The specific criteria and calculation methods are outlined in the regulations."
What types of properties are subject to automatic rent reductions?,Properties such as mobile home parks and land lease communities are subject to automatic rent reductions under certain conditions. The regulations provide details on the specific types of properties that fall under this category.
How are automatic rent reductions calculated?,"Automatic rent reductions are calculated based on specific formulas outlined in the regulations. The calculation method varies from 20% to 15%, and the details can be found in the applicable guidelines."
When are rent reduction notices sent to landlords and tenants?,Rent reduction notices are sent to landlords and tenants when the conditions for automatic rent reductions are met. The specific timelines and procedures for sending these notices are outlined in the regulations.
Do tenants need permission to reduce their rent?,"Tenants may not need permission to reduce their rent in certain circumstances, such as when automatic rent reductions apply. The regulations provide clarity on the tenant's rights and the process for rent reduction."
What if you don’t agree with the amount of rent reduction?,"If there is a disagreement regarding the amount of rent reduction, the process for addressing this issue is outlined in the regulations. It may involve applying to the Landlord and Tenant Board for resolution."
Applying to the LTB,The process for applying to the Landlord and Tenant Board for rent reductions and tax decreases is detailed in the regulations. It is important to follow the specified procedures for seeking resolution through the LTB.
Contact the Landlord and Tenant Board Rent Reductions and Tax Decreases,"For specific inquiries or assistance regarding rent reductions and tax decreases, individuals can contact the Landlord and Tenant Board. The contact information and relevant resources are available through the LTB."
When are rents automatically reduced?,"Rents are automatically reduced when a landlord’s property taxes are reduced by more than 2.49% from one year to the next, as required by the Residential Tenancies Act (RTA). This is called an automatic rent reduction."
When are rents automatically reduced?,"Rents are automatically reduced if municipal taxes have been reduced by more than 2.49%. In such cases, municipalities must send a notice of rent reduction to landlords and tenants of residential complexes with 7 or more rental units. The notice will specify the percentage rent reduction that will be applied to all residential rental units in the complex."
What types of properties are subject to automatic rent reductions?,"Rent can be automatically reduced for apartment buildings, rented townhouses, duplexes and detached houses, rooming houses, boarding and lodging homes, mobile home parks and land lease communities, rented condominiums, most private care homes, and “for-profit” cooperatives that are rented."
What types of properties are not subject to automatic rent reductions?,"Rent cannot be automatically reduced for public housing, non-profit housing projects, non-profit housing cooperatives, vacation homes, some housing owned by educational institutions, nursing homes, commercial, industrial or recreational properties."
Are vacation homes subject to automatic rent reductions?,"No, vacation homes are not subject to automatic rent reductions."
How can a tenant request a rent reduction in a mobile home park?,"The tenant can request a rent reduction if the taxes charged for the site are included in their rent. If the taxes are not included, the automatic rent reduction would not apply."
How are automatic rent reductions calculated?,"For a complex with 7 or more units, the rent reduction is equal to the percentage decrease in taxes for the complex multiplied by 20%. For a complex with 6 or fewer units, the rent reduction is equal to the percentage decrease in taxes for the complex multiplied by 15%."
Why does the formula vary from 20% to 15%?,"The formula varies because property taxes for complexes with 7 or more units are estimated at 20% of the landlord’s total rent revenue, while for complexes with 6 or fewer units, it is estimated at 15%."
How to calculate the rent reduction for a complex with 7 or more units?,"To calculate the rent reduction, you would need to take 20% of the percentage of the tax decrease. In this case, if the tax decrease is 10%, then the rent reduction would be 20% of 10%, which equals 2%."
When are rent reduction notices sent to landlords and tenants?,"Rent reduction notices are sent to landlords and tenants when the property taxes are reduced. However, automatic rent reductions do not apply to tenants who take possession of a rental unit after December 31st of the year the property taxes are reduced."
Do tenants need permission to reduce their rent?,"No, tenants do not have to get permission from the landlord to reduce the rent. However, it is recommended that tenants communicate with their landlord before reducing the rent."
What if I don’t agree with the amount of rent reduction?,You can apply to the LTB to have the amount of the rent reduction varied by filling out the Application to Vary the Amount of a Rent Reduction – Form A4.
What if you don’t agree with the amount of rent reduction?,"If you don’t agree with the amount of rent reduction, you can dispute it by providing evidence to the Landlord and Tenant Board. This evidence could include documentation of charges paid by the landlord that were not included in the calculation, discrepancies in property tax amounts, or any other relevant information that supports your position."
What happens after filing an application to vary the amount of a rent reduction?,"After filing the application, the LTB will generally order the party who files the application to give the other parties a copy of the Notice of Written Hearing and a copy of the application. The Notice of Written Hearing sets out the deadlines to file and respond to written submissions. The applications are generally resolved by a written hearing, where the landlord and tenant(s) are given deadlines to file written submissions to the LTB. An adjudicator will review the submissions and make a decision based on the evidence provided by the landlord and tenant(s)."
What happens after the application is filed?,"Once the deadlines to file and respond to written submissions have expired, the adjudicator will issue a written decision called an order. The LTB will mail the order to the landlord and tenant(s) that are listed in the application. Depending on the reasons for the application, the LTB might decide that the amount of the rent reduction must be higher or lower, or stay the same. The LTB’s order is effective as of December 31st of the year the property taxes were reduced. This means that either the landlord or tenant may have to repay the other for the amount that was either underpaid or overpaid from December 31st to the date of the LTB’s order."
How to calculate rent reduction for a tenant?,"To calculate the rent reduction, you can use the formula: Original rent x (original percentage - new percentage). In this case, it would be $800 x (2% - 1.4%) for the 4 rent periods of January to April 2008."
How to calculate rent increase after a rent reduction?,"The rent increase should be calculated based on the reduced rent amount. For example, if the reduced rent amount is $788.80, any future rent increase would be calculated based on this reduced amount."
What is the landlord's responsibility for repairing the rental property?,"The landlord must repair or replace any item that no longer works due to normal wear and tear or damage. When replacing an item, it does not have to be a new or better model, and it can even be a used item as long as it works properly."
What are the minimum standards for rental property upkeep in Ontario?,The minimum standards for rental property upkeep in Ontario are set by municipal bylaws. Your local municipal government is responsible for enforcing these standards.
What constitutes vital services in a rental unit?,"Vital services include hot or cold water, fuel, electricity, gas, and heat during certain months of the year. If a landlord provides heat, it must be kept at a minimum temperature of 20o Celsius from September 1 to June 15."
What are the maintenance obligations for a landlord in a mobile home or land lease community?,"The maintenance obligations include keeping the grounds, buildings, roads, water supply, fuel, drainage, sewage, and electrical systems in good condition. This involves ensuring the roads are free of potholes and snow, providing enough drinking water and water pressure, and maintaining the various systems and equipment for the use of all residents."
How to file a Tenant Application about Maintenance (Form T6) with the LTB?,You can file this application online through the Tribunals Ontario Portal.
What remedies can a tenant ask for?,"Tenants can ask for remedies such as rent abatement, repairs, compensation for damages, or termination of the tenancy."
What remedies can a tenant ask for?,"A tenant can ask for a rent abatement, order the landlord to repair or replace something, allow the tenant to make repairs and have the landlord pay for the cost, order the landlord to pay for reasonable expenses, damage to the tenant's property, or out of pocket expenses, stop rent increases until maintenance problems are fixed, end the tenancy if the rental unit is unsafe, or request any other type of order such as requiring the landlord to pay money to the tenant."
Can a tenant withhold rent for maintenance issues?,"If a tenant files a Tenant Application about Maintenance (Form T6), they may ask the LTB to allow them to pay some or all of their rent to the LTB (instead of the landlord) until their application has been decided. The LTB will decide whether or not to grant the tenant's request."
Can I evict a tenant for not keeping the unit clean?,"You cannot evict a tenant solely for keeping the unit untidy. However, if the uncleanliness interferes with the reasonable enjoyment of the landlord or other tenants, eviction may be possible."
Who is responsible for repairing damage to the rental property?,"The tenant is responsible for repairing any damage to the rental property that is not due to normal wear and tear. This includes damage caused by the tenant, their guests, or another person living in the rental unit, whether it was done on purpose or by not being careful enough."
What can I do if the tenant causes damage to the rental property and does not repair or replace it?,"You can send the tenant a notice to repair the damage or replace the damaged property. If the tenant does not comply, you may be able to apply to the Landlord and Tenant Board for an order to evict the tenant."
How to give a notice to end the tenancy?,The notice to end a tenancy must be in writing and in a form approved by the LTB. Different forms are available for different reasons and can be found at tribunalsontario.ca/ltb/forms.
How to apply to the LTB for damages and/or eviction?,"To apply for damages and/or eviction, you can file an application with the Landlord Tenant Board. You will need to provide evidence of the damages and/or the reason for eviction, such as a notice of termination served to the tenant. The LTB will review your application and make a decision based on the evidence provided."
What evidence do I need to support my application for eviction?,"You will need to provide printed pictures of the damage or the state of the unit, copies of any written correspondence between you and the tenant, such as letters and notices of termination, written quotes from licensed contractors for the cost of repairing the damage or cleaning the unit, and receipts for money you spent to repair damage to the rental property."
How to file an application with the Landlord and Tenant Board?,"To file an application with the Landlord and Tenant Board, you can visit their website and fill out the necessary forms. The LTB provides information on the specific forms required for different types of applications, such as for eviction, rent increases, or maintenance issues. Once the forms are completed, they can be submitted to the LTB along with any required supporting documents."
Who can apply to the LTB?,"A landlord or a tenant can apply to the LTB. In some circumstances, a former tenant can also apply if the issues happened while they were a tenant in a rental unit. Additionally, a group of tenants in the same building, a group of related buildings, a mobile home park, or a land lease community can apply. In some circumstances, a prospective tenant may also be eligible to apply."
How to file an application,Ensure all required documents are included in the application. Double-check that all information provided is correct and accurate to avoid delays or rejection.
Where can I file an application to the LTB?,"You can file an application to the LTB by visiting the LTB’s website to access the necessary forms, or by calling or visiting an LTB office. Additionally, you can obtain the required forms from a ServiceOntario location that provides this service."
What are the fees for filing an application with the Landlord Tenant Board?,"The fee for an application varies by application type. Depending on how an application is filed, the fee can be paid by cash, money order, certified cheque, debit card, Visa or MasterCard. If a landlord files two different applications for two different reasons against the same tenant in the same unit at the same time, they are only required to pay one fee to cover the combined applications. If there are different fees required for two applications, or if one application has no fee and the other one does, the fee charged to the applicant will be the higher of the two."
How to serve the application on the other parties named in the application?,"If the LTB orders you to serve, the LTB will give you two copies of your application. You must give one copy of the Notice of Hearing and one copy of your application to each party named in your application before the hearing. This is called serving the Notice of Hearing and application. The Board will provide you with information and instructions on how and when to serve if ordered to do so."
How do I fill out a Certificate of Service?,You must fill out the Certificate of Service to show how and when you served the application and Notice of Hearing on the other parties. Make sure to return the completed Certificate of Service to the LTB before your hearing. You can obtain the Certificate of Service forms from the LTB.
How to amend an application with the Landlord Tenant Board?,"To amend an application with the Landlord Tenant Board, you need to make a request to the LTB and provide a copy of your request to all other parties involved in the application, including the respondent and their representative, if any. This should be done as soon as you have made your request to the LTB."
How to withdraw an application as a landlord?,"You should notify the LTB in writing well before the hearing begins. Provide your request to withdraw your application to the LTB, and in most cases, they will close your file and cancel the hearing if one has been scheduled."
How to serve a document to a former tenant,You can use alternative methods of service as outlined in the Landlord and Tenant Board guidelines. Make sure to follow the specific instructions for serving a former tenant to ensure it is considered received by the LTB.
How to serve a document to the other party in a case at the LTB?,"You may be able to serve a document in person, by courier, by mail or by email, depending on the situation. Make sure to follow the specific rules and guidelines for serving documents as outlined by the Landlord and Tenant Board."
How to serve a notice of termination to a tenant,You can serve a notice of termination to a tenant by following the specific guidelines outlined in the Residential Tenancies Act. Ensure that you provide the required notice period based on the reason for termination and the type of tenancy agreement.
How to serve a tenant with an above guideline rent increase application?,"As a landlord, you are usually required to serve tenants with an above guideline rent increase application. Ensure to follow the specific guidelines provided by the Landlord and Tenant Board for serving this type of application."
How to provide proof of service to the Landlord Tenant Board?,"When filing an application related to a notice of termination, provide the LTB with a copy of the notice or document served, along with a completed Certificate of Service by the person who served the notice. The Certificate of Service should detail when, where, and how the document was served."
What are the consequences of not serving a document correctly?,"If you don’t serve a document that you were required to, it is possible that your application or motion will be dismissed. If you serve a document using a method that is not permitted, you may be required to prove at the hearing when and how the other party received the document."
How to serve a notice of termination for rent arrears to a tenant?,You must serve the tenant an N4 notice of termination for rent arrears at least 14 days before the termination date listed on the notice. The method of service will determine when the LTB considers the notice to be received.
How to serve documents to a tenant?,"You can serve documents by handing them to the tenant in-person, leaving them in the tenant’s mailbox or at the place where mail is ordinarily delivered, sending them by courier, fax, regular mail, email (if agreed in writing), or uploading them into the Tribunals Ontario Portal (if agreed in writing). The method of service determines when the documents are considered received."
"How can I serve documents to a tenant, subtenant, or occupant of the rental unit?","You can give the documents to an apparent adult in the unit, or place the documents under the door of the unit or put them through the mail slot in the door of the unit (as long as the person is still in possession of the unit)."
How can I serve documents to a landlord?,"You can give the documents to an employee or representative of the landlord, such as a superintendent or property manager."
How can I serve documents to a non-profit housing co-operative?,"You can place the documents under the door of a non-profit housing co-operative's head office or business office, or give them to the manager or co-ordinator."
Can I deliver documents to a person's agent or representative?,"Yes, you can deliver the documents to the person’s agent or representative by fax, mail, or courier."
"What is the acceptable method of service for serving a landlord, tenant, subtenant, or occupant of the rental unit?","For a landlord, you can give the documents to an employee or representative of the landlord. For a tenant, subtenant, or occupant of the rental unit, you can give the documents to an apparent adult in the unit, or place the documents under the door of the unit or put them through the mail slot in the door of the unit (as long as the person is still in possession of the unit)."
How to serve documents to a former tenant?,"You can serve the documents by handing them to the former tenant, an adult person at the former tenant’s current residence, sending them by mail or courier to the former tenant’s current residence, leaving them at the place where mail is ordinarily delivered at the former tenant’s current residence, or emailing the documents if the former tenant agreed in writing to receive documents by email and you can prove they received the document(s) by email."
How to serve a former tenant or a tenant no longer in possession of the rental unit,You can use the Certificate of Service: Serving a Former Tenant or a Tenant no Longer in Possession of the Rental Unit form available on the Forms webpage of Tribunals Ontario - Landlord Tenant Board.
What is the purpose of mediation at the LTB?,The purpose of mediation at the LTB is to help the landlord and the tenant reach an agreement that is acceptable to both sides. It is a voluntary process where a neutral person facilitates discussions to settle differences.
How does mediation work at the Landlord Tenant Board?,"Mediation is available on the day of the hearing. If you want to mediate, arrive early to be sure there is time to meet with the dispute resolution officer before your hearing. At an online hearing, the dispute resolution officer will ask you to raise your hand if you want to mediate. At an in-person hearing, tell the security guard or LTB staff member that you want to mediate when you arrive. Remember that for mediation to take place, both sides must be willing to participate."
What happens if an agreement is reached during mediation?,"If an agreement is reached during mediation, the dispute resolution officer will prepare a written agreement for the parties to sign and the hearing will be cancelled. The parties may also ask to have the terms of the agreement put into a consent order which will be issued by the LTB. The terms of a consent order can be enforced in the same way as other LTB orders."
How can I obtain a copy of a signed agreement from the Landlord Tenant Board?,"If you reach an agreement, you and the other side will each get a copy of the signed agreement; the LTB does not keep a copy."
Can I share the decision-maker's notes with others?,"The decision-maker may share comments from Legal Services with other members, including member managers, if they wish to do so."
What information is protected by deliberative secrecy at Tribunals Ontario?,Any communication between a member and their colleague or member manager about a draft decision is protected by deliberative secrecy. This includes specific comments made by any reviewer on draft reasons.
Can Legal Services provide comments about a new member's draft reasons to a member manager?,"Legal Services may provide general comments about a new member’s draft reasons to a member manager, which may be used for the purposes of performance appraisal during the new member’s training period."
Can specific comments made by a reviewer on draft reasons be used for a decision-maker’s performance appraisal?,Specific comments made by any reviewer on draft reasons are not to be used for the purposes of a decision-maker’s performance appraisal.
What can I do if my tenant is not following the agreement?,"You can file a Request to Re-open an Application with the Landlord Tenant Board. If the application is re-opened, an LTB member will deal with the issues raised in the original application at a hearing."
Why is a hearing held by the Landlord and Tenant Board?,"A hearing is held to consider the application. The person who made the application will try to show why it should be granted, and the other side tries to show why it should not be granted."
What role does the member (adjudicator) play at the hearing?,The member is in charge of the hearing and may ask questions. They cannot provide legal advice or tell you how to present your case.
What are the different formats for landlord tenant board hearings?,"Hearings are held in one of 4 formats: An oral hearing, a video conference hearing, a telephone hearing, or a written hearing."
What should I do if I am having an oral hearing and I am running late?,"If you are having an oral hearing and you are running late, it is important to try to arrive as soon as possible. If you are late, the LTB can decide to hold the hearing and make a decision about the application without you. It is advisable to contact the LTB as soon as possible to inform them of your situation and to seek guidance on how to proceed."
What should I expect in terms of the length of the hearing?,"You should plan to be at your hearing for the entire day, as your case may be called later in the day. It is important not to be late, as the application may be heard without you."
How to arrange for witnesses for a hearing?,"If you are not sure whether a witness will come, you can ask the LTB to issue a summons by filling out a Request for the Board to Issue a Summons. A summons is a legal document that tells that person to go to the hearing. Send the form to the LTB well in advance of your hearing."
What should I do if I cannot come to the hearing?,You should contact the Landlord and Tenant Board as soon as possible to request an adjournment and provide a valid reason for your absence.
What should I do if I cannot come to the hearing?,"You have three choices: 1) Ask someone to represent you with your written permission and provide them with all necessary information. 2) Ask all other parties if they agree to set a new hearing date and file a Request to Reschedule a Hearing if they do agree. 3) Attend the hearing and ask for the hearing to be adjourned, providing an explanation for your absence."
How to request French language services for a hearing or mediation?,Complete the Request for French-Language Services or Accommodation Request form and submit it as soon as possible and well in advance of your hearing date. A member who speaks French will be assigned to your hearing.
How to request an interpreter for a hearing in a language other than French or English?,"If you need an interpreter for a language other than French or English, you are expected to arrange for someone to interpret for you. This could be someone you know who speaks both your native language and English and is willing to help you, or you can hire an interpreter. The Association of Translators and Interpreters of Ontario has an online directory of court interpreters that you can refer to for hiring an interpreter."
How to request a sign language interpreter for a hearing?,Complete the Request for French-Language Services or Accommodation Request form and make your request as soon as possible and well in advance of your hearing.
How to request accommodation under the Human Rights Code for LTB services?,You can ask the LTB to make special arrangements (called an accommodation) so that you can have full access to LTB services and participate fully in LTB hearings and mediations. You may need to provide documentation or evidence of your disability or need related to the Human Rights Code.
What happens during a hearing at the Landlord Tenant Board?,"During a hearing, both the landlord and the tenant present their evidence and arguments to the adjudicator. The adjudicator will then make a decision based on the presented evidence and the Residential Tenancies Act."
